iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.985,,
10,1.685,,0.0001,1.994
20,0.919,,0.0001,2.334
30,0.736,,0.0001,2.622
40,0.843,,0.0001,2.84
50,0.834,,0.0001,2.959
60,0.932,,0.0001,2.449
70,0.868,,0.0001,2.354
80,0.891,,0.0001,2.143
90,0.854,,0.0001,1.853
100,,0.892,,
100,1.025,,0.0001,2.236
110,0.705,,0.0001,2.254
120,0.857,,0.0001,1.882
130,0.95,,0.0001,2.218
140,0.958,,0.0001,2.258
150,1.015,,0.0001,2.441
160,0.856,,0.0001,2.69
170,0.822,,0.0001,2.395
180,0.806,,0.0001,2.264
190,0.844,,0.0001,2.477
200,,0.817,,
200,0.692,,0.0001,1.801
