iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.407,,
10,1.218,,0.0001,1.662
20,0.748,,0.0001,1.772
30,0.779,,0.0001,1.748
40,0.663,,0.0001,1.66
50,0.719,,0.0001,1.489
60,0.604,,0.0001,1.691
70,0.612,,0.0001,1.65
80,0.73,,0.0001,1.466
90,0.648,,0.0001,1.621
100,,0.935,,
100,0.71,,0.0001,1.635
110,0.56,,0.0001,2.09
120,0.673,,0.0001,1.912
130,0.579,,0.0001,1.469
140,0.518,,0.0001,1.589
150,0.568,,0.0001,1.506
160,0.734,,0.0001,1.676
170,0.605,,0.0001,1.438
180,0.549,,0.0001,1.448
190,0.465,,0.0001,1.511
