iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.407,,
10,1.218,,0.0001,1.641
20,0.748,,0.0001,1.754
30,0.779,,0.0001,1.746
40,0.663,,0.0001,1.657
50,0.719,,0.0001,1.494
60,0.604,,0.0001,1.726
70,0.612,,0.0001,1.67
80,0.73,,0.0001,1.475
90,0.648,,0.0001,1.649
100,,0.935,,
100,0.71,,0.0001,1.67
110,0.56,,0.0001,2.094
120,0.673,,0.0001,1.86
130,0.579,,0.0001,1.524
140,0.518,,0.0001,1.603
150,0.568,,0.0001,1.546
160,0.734,,0.0001,1.68
170,0.605,,0.0001,1.44
180,0.549,,0.0001,1.45
190,0.465,,0.0001,1.472
200,,0.569,,
200,0.566,,0.0001,1.617
