iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.985,,
10,1.685,,0.0001,1.982
20,0.919,,0.0001,2.341
30,0.736,,0.0001,2.627
40,0.843,,0.0001,2.827
50,0.834,,0.0001,2.835
60,0.932,,0.0001,2.317
70,0.868,,0.0001,2.199
80,0.891,,0.0001,2.122
90,0.854,,0.0001,1.835
100,,0.892,,
100,1.025,,0.0001,2.196
110,0.705,,0.0001,2.235
120,0.857,,0.0001,1.9
130,0.95,,0.0001,2.218
140,0.958,,0.0001,2.255
150,1.015,,0.0001,2.445
160,0.856,,0.0001,2.612
170,0.822,,0.0001,2.391
180,0.806,,0.0001,2.264
190,0.844,,0.0001,2.478
200,,0.817,,
200,0.692,,0.0001,1.79
210,0.643,,0.0001,2.062
220,0.914,,0.0001,2.631
230,1.019,,0.0001,1.975
240,1.042,,0.0001,2.203
250,0.984,,0.0001,1.848
260,0.829,,0.0001,1.601
270,0.621,,0.0001,2.273
280,0.954,,0.0001,1.875
290,0.688,,0.0001,2.126
300,,0.956,,
300,0.832,,0.0001,2.094
