iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.985,,
10,1.76,,0.0001,2.622
20,0.962,,0.0001,3.065
30,0.715,,0.0001,3.433
40,0.864,,0.0001,3.709
50,0.974,,0.0001,3.873
60,0.967,,0.0001,3.202
70,0.928,,0.0001,3.068
80,0.909,,0.0001,2.797
90,0.945,,0.0001,2.418
100,,0.913,,
100,1.117,,0.0001,2.936
110,0.77,,0.0001,2.957
120,0.847,,0.0001,2.501
130,1.003,,0.0001,2.993
140,1.027,,0.0001,3.089
150,1.168,,0.0001,3.289
160,0.916,,0.0001,3.595
170,0.905,,0.0001,3.187
180,0.898,,0.0001,2.982
190,0.908,,0.0001,3.24
200,,0.881,,
200,0.795,,0.0001,2.352
210,0.727,,0.0001,2.701
220,0.967,,0.0001,3.434
230,1.147,,0.0001,2.56
240,1.13,,0.0001,2.874
250,1.037,,0.0001,2.423
260,0.891,,0.0001,2.095
270,0.771,,0.0001,2.986
280,1.076,,0.0001,2.465
290,0.731,,0.0001,2.785
300,,1.041,,
300,0.911,,0.0001,2.768
310,0.803,,0.0001,3.074
320,0.856,,0.0001,2.362
330,0.821,,0.0001,2.551
340,0.953,,0.0001,2.601
350,0.86,,0.0001,2.453
360,0.689,,0.0001,3.95
370,1.064,,0.0001,2.561
380,0.897,,0.0001,2.162
390,0.832,,0.0001,2.886
400,,1.209,,
400,0.735,,0.0001,3.117
410,0.826,,0.0001,2.995
420,0.975,,0.0001,2.937
430,0.844,,0.0001,3.466
440,0.928,,0.0001,3.038
450,0.965,,0.0001,2.646
460,0.707,,0.0001,3.65
470,0.966,,0.0001,3.451
480,0.965,,0.0001,2.742
490,0.698,,0.0001,3.357
500,,0.993,,
500,0.847,,0.0001,2.988
510,0.872,,0.0001,2.881
520,0.714,,0.0001,2.623
530,0.679,,0.0001,3.192
540,0.801,,0.0001,3.142
550,0.927,,0.0001,3.155
560,0.846,,0.0001,2.238
570,1.072,,0.0001,2.523
580,0.877,,0.0001,2.611
590,0.944,,0.0001,2.652
600,,1.075,,
600,0.79,,0.0001,2.653
