iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.985,,
10,1.613,,0.0001,1.984
20,0.938,,0.0001,2.336
30,0.785,,0.0001,2.616
40,0.964,,0.0001,2.83
50,0.889,,0.0001,2.935
60,1.008,,0.0001,2.431
70,0.94,,0.0001,2.35
80,0.937,,0.0001,2.133
90,0.971,,0.0001,1.839
100,,0.949,,
100,1.093,,0.0001,2.222
110,0.747,,0.0001,2.23
120,0.932,,0.0001,1.852
130,1.0,,0.0001,2.176
140,0.98,,0.0001,2.213
150,1.126,,0.0001,2.424
160,0.886,,0.0001,2.696
170,0.911,,0.0001,2.387
180,0.907,,0.0001,2.24
190,0.845,,0.0001,2.471
200,,0.865,,
200,0.772,,0.0001,1.78
210,0.709,,0.0001,2.047
220,0.94,,0.0001,2.611
230,1.034,,0.0001,1.962
240,1.071,,0.0001,2.187
250,0.979,,0.0001,1.843
260,0.845,,0.0001,1.59
270,0.713,,0.0001,2.253
280,0.987,,0.0001,1.863
290,0.793,,0.0001,2.12
300,,0.995,,
300,0.914,,0.0001,2.091
